product_name,Opt_classification_60
Blue Tortilla chips,C
Blévita Graines de Courge,D
Waffel-Körbli,D
Galettes bretonnes,E
Papas receta original,C
,C
"Florbu Waffers, Butterkeks",D
BAR Mixed nuts,B
Tartines craquantes sésame jardin bio,B
Coleslaw (400 g + 200 g Gratuits),B
"Vitalité Cranberries, noix de cajou, noix de pécan",C
Mix - semillas y frutas,B
Noix de coco - Chocolat noir 70%,D
Cigarettes gourmandes,E
Patatas fritas sartén lisas sabor trufa,D
Biscuit Croustillant Blé Et Avoine,D
Mon coleslaw chou blanc et carottes,C
Prawn crackers,D
Karma coconut choco,D
Activ'air,E
Tuiles gout paprika,C
Taboulé au tartare de tomate ,D
Torta polvoron,D
Kit Kat x10,E
Pâte 100% fruits abricot,B
Takis Temptation,D
Pain spécial brioché pour foie gras,C
Coleslaw à la moutarde à l'ancienne,B
NutriBite Pistachio Cranberries Bar,C
Salzstangerl,D
Beignets de Fleur de Courgette,D
Boîte collector avec tubo sticks/bretzels - printemps,D
Golden Nuts,D
Bugles nacho cheese,E
Chocolat dessert Lait,D
Monster Munch Salé 80G,D
Délices au fromage,D
soft cake Kirsche,E
My Lacta Peanut n Cereal,E
Patatas fritas lisas,D
What the Hemp !,B
Chips PREMIUM sabor queso curado y trufa negra,C
Milka Oreo Sandwandwich,E
"Vita Weat 100% natural, original",C
Tex Mex Tortilla Chips med Salt,D
Smile gummi Happies,E
Caocream,E
Surtido de chocolate,E
Blackcurrant Flavour Cordial,E
Biscuits apéritif saveur paprika,C
American Style Popcorn,D
Gerblé sans sucres génoise chocolat saveur framboise,C
Coleslaw à la moutarde à l'ancienne,B
Chokotoff - Caramel enrobé de chocolat noir,E
Les Aides Pâtissières – Pâte d'amande,D
Colfiorito Snack Pronto Da Mangiare,B
Goldschatz Schokolade,E
Popped Chips Lentil,C
Principe crema de chocolate,D
BodyMe Organic Vegan Protein Bar Cacao Orange,C
Figuritas de mazapan,C
Beignet pomme,B
Pocket porridge,C
Pretzal pieces jalapeño flavour,E
Meringue de la Gruyère,E
Wasabi-nori-chips,D
Au Lait du Pays Alpin (lot de 3),E
Sunbites Palomitas sabor Cheddar Blanco,C
Tendre cœur chocolat,E
Gaufrettes aux légumes betterave oignon,C
Craquelins natures recette originale x 20,C
Mini cake framboise,D
Chips à l'ancienne Nature,C
Snacks poppés aux légumineuses saveur fromage poivre fumé,C
Protein Knabbermix,B
Chips saveur paprika,D
Biscuits Epeautre et Sésame,C
Cookies Premium Maxi Pépites de Chocolats,D
Kichererbsen Chips,C
Sweet & Salty,B
,B
Noten & Granen Repen Amandel & Havermout,C
Classic fondente 75g,E
,C
Sušenky bez cukru jablko,C
Bloc lait amandes caramélisées pointe de sel,D
Breakfast Biscuits - Cranberry,C
The original - Petits crackers sans cuisson Pomme & Datte,C
Cucurucho Crema Americana & Chocolate,D
,E
Gezouten Pinda’s,B
Galleta Cracker con Oliva y Oregano,D
p’tit nature complet NUTRI+,C
Crunchy Bites Raspberry Dark Choc,C
Chocolat Blanc,E
Rocher aux Amandes,C
no:1 Hazelnut,D
Cake au beurre fourré,E
Harrys brioche tranchée bio sans additifs 400g,C
Coeur de boule - Coco Funkytella,C
Kouign amann pur beurre,E
Génoises Orange,E
Chocolat au lait du Pays Alpin,E
Soßenkuchen,D
Soufflé à la cacahuète,D
Chips allégées,C
